sample_id,video_id,clip_id,duration_sec,text_valid_len,audio_valid_len,vision_valid_len,text_dim,audio_dim,vision_dim,alignment_positions,padding_rule
17,-UuX1xuaiiE,6,8.11,50,49,41,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
18,-a55Q6RWvTA,3,22.15,50,50,50,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
19,-aNfi7CP8vM,7,8.69,50,49,44,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
20,-aqamKhZ1Ec,0,10.97,50,50,50,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
21,-dxfTGcXJoc,1,16.16,50,50,50,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
22,-dxfTGcXJoc,0,20.5,50,50,50,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
23,-dxfTGcXJoc,2,16.7,50,50,50,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
24,-dxfTGcXJoc,6,12.74,50,50,50,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
25,-egA8-b7-3M,26,6.03,50,50,30,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
26,-egA8-b7-3M,17,7.27,50,49,37,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
27,-egA8-b7-3M,18,8.39,50,50,42,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
28,-egA8-b7-3M,16,5.54,50,50,28,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
29,-egA8-b7-3M,13,4.18,50,48,21,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
30,-egA8-b7-3M,1,10.27,50,50,50,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
31,-egA8-b7-3M,6,6.26,50,50,32,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
32,-egA8-b7-3M,9,5.09,50,49,26,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
33,-egA8-b7-3M,20,6.64,50,49,34,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
34,-iRBcNs9oI8,3,5.62,50,50,28,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
35,-iRBcNs9oI8,7,4.1,50,49,21,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
36,-iRBcNs9oI8,6,2.9,50,49,15,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
37,-iRBcNs9oI8,9,3.42,50,50,17,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
38,-iRBcNs9oI8,8,8.09,50,50,41,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
39,-lzEya4AM_4,5,7.68,50,50,39,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
40,-lzEya4AM_4,6,14.79,50,50,50,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
41,-mJ2ud6oKI8,1,6.1,50,50,31,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
42,-mJ2ud6oKI8,2,5.73,50,50,29,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
43,-mJ2ud6oKI8,6,2.26,50,49,12,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
44,-mJ2ud6oKI8,9,7.03,50,49,35,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
45,-mJ2ud6oKI8,8,4.19,50,50,21,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
46,-mqbVkbCndg,0,6.47,50,50,33,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
47,-t217m2on-s,2,5.69,50,50,29,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
48,-t217m2on-s,7,17.18,50,50,50,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
49,-tANM6ETl_M,3,6.76,50,49,34,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
50,-tPCytz4rww,11,5.47,50,50,28,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
51,-tPCytz4rww,10,4.79,50,49,24,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
52,-tPCytz4rww,12,11.86,50,50,50,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
53,-tPCytz4rww,16,7.21,50,50,36,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
54,-tPCytz4rww,18,6.64,50,50,34,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
55,-vxjVxOeScU,4,9.13,50,50,46,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
56,-wMB_hJL-3o,7,6.04,50,50,31,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
57,-wny0OAz3g8,1,6.84,50,50,35,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
58,-wny0OAz3g8,0,3.33,50,50,17,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
59,-wny0OAz3g8,3,6.15,50,50,31,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
60,-wny0OAz3g8,2,6.69,50,49,34,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
61,-wny0OAz3g8,5,6.91,50,49,35,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
62,-wny0OAz3g8,7,8.07,50,49,41,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
63,-wny0OAz3g8,9,6.21,50,49,31,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
64,-571d8cVauQ,0,5.07,50,50,26,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
65,-571d8cVauQ,5,15.27,50,50,50,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
66,-I_e4mIh0yE,1,7.62,50,49,38,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
67,-I_e4mIh0yE,3,9.16,50,50,46,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
68,-UacrmKiTn4,10,7.36,50,50,37,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
69,-UacrmKiTn4,4,4.74,50,50,24,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
70,-hnBHBN8p5A,7,7.37,50,50,37,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
71,-hnBHBN8p5A,6,6.4,50,50,32,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
72,-qDkUB0GgYY,6,4.68,50,50,24,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
73,-uywlfIYOS8,4,6.04,50,49,31,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
74,-6rXp3zJ3kc,8,12.81,50,50,50,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
75,-9y-fZ3swSY,0,6.83,50,50,35,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
76,-9y-fZ3swSY,4,2.82,50,48,14,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
77,-9y-fZ3swSY,8,4.99,50,50,25,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
78,-AUZQgSxyPQ,2,22.51,50,50,50,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
79,-HeZS2-Prhc,2,8.26,50,50,42,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
80,-MeTTeMJBNc,0,9.3,50,50,47,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
81,-MeTTeMJBNc,13,5.43,50,49,27,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
82,-MeTTeMJBNc,7,10.52,50,50,50,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
83,-RfYyzHpjk4,11,5.24,50,49,27,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
84,-RfYyzHpjk4,8,4.59,50,50,23,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
85,-RfYyzHpjk4,2,5.52,50,49,28,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
86,-UUCSKoHeMA,0,7.8,50,50,39,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
87,-ri04Z7vwnc,0,2.81,50,49,14,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
88,-ri04Z7vwnc,2,6.03,50,49,30,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
89,-ri04Z7vwnc,5,3.55,50,49,18,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
90,-s9qJ7ATP7w,1,4.79,50,49,24,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
91,-s9qJ7ATP7w,0,6.8,50,50,34,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
92,-s9qJ7ATP7w,5,8.56,50,49,43,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
93,-s9qJ7ATP7w,4,4.43,50,48,22,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
94,-s9qJ7ATP7w,7,6.97,50,49,35,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
95,-s9qJ7ATP7w,6,2.48,50,47,13,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
96,-s9qJ7ATP7w,8,3.29,50,49,17,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
97,-yRb-Jum7EQ,1,29.29,50,50,50,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
98,-yRb-Jum7EQ,5,13.17,50,50,50,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
99,-yRb-Jum7EQ,6,11.24,50,50,49,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
